
Image Name                     PID Session Name        Session#    Mem Usage
========================= ======== ================ =========== ============
System Idle Process              0 Services                   0          8 K
System                           4 Services                   0      4,288 K
Registry                       100 Services                   0     41,188 K
smss.exe                       448 Services                   0        916 K
csrss.exe                      692 Services                   0      5,236 K
wininit.exe                    780 Services                   0      5,956 K
csrss.exe                      800 Console                    1      5,580 K
services.exe                   852 Services                   0     12,380 K
lsass.exe                      860 Services                   0     18,580 K
winlogon.exe                   944 Console                    1     10,468 K
svchost.exe                    620 Services                   0     33,384 K
fontdrvhost.exe                716 Services                   0      3,632 K
fontdrvhost.exe                676 Console                    1      5,928 K
WUDFHost.exe                  1044 Services                   0      8,292 K
WUDFHost.exe                  1112 Services                   0     12,516 K
svchost.exe                   1148 Services                   0     16,528 K
svchost.exe                   1200 Services                   0      9,896 K
svchost.exe                   1284 Services                   0     10,164 K
svchost.exe                   1332 Services                   0      7,408 K
svchost.exe                   1384 Services                   0     11,952 K
svchost.exe                   1408 Services                   0      6,264 K
svchost.exe                   1420 Services                   0     14,272 K
dwm.exe                       1456 Console                    1     41,724 K
svchost.exe                   1680 Services                   0      9,948 K
svchost.exe                   1756 Services                   0      7,544 K
svchost.exe                   1776 Services                   0      5,732 K
svchost.exe                   1824 Services                   0      7,276 K
svchost.exe                   1900 Services                   0     16,044 K
svchost.exe                   1908 Services                   0     11,632 K
svchost.exe                   2024 Services                   0     17,552 K
svchost.exe                   2060 Services                   0      6,748 K
svchost.exe                   2072 Services                   0     10,444 K
svchost.exe                   2080 Services                   0     12,936 K
svchost.exe                   2132 Services                   0      6,952 K
svchost.exe                   2172 Services                   0     93,008 K
svchost.exe                   2196 Services                   0      5,740 K
svchost.exe                   2272 Services                   0     11,360 K
Memory Compression            2300 Services                   0    208,144 K
svchost.exe                   2388 Services                   0     10,020 K
svchost.exe                   2420 Services                   0      7,696 K
svchost.exe                   2556 Services                   0     10,480 K
svchost.exe                   2572 Services                   0      8,044 K
igfxCUIService.exe            2616 Services                   0      8,132 K
svchost.exe                   2688 Services                   0      7,388 K
svchost.exe                   2696 Services                   0      8,060 K
svchost.exe                   2840 Services                   0     12,464 K
hpservice.exe                 2952 Services                   0      5,060 K
RtkAudioService64.exe         3012 Services                   0      8,680 K
svchost.exe                   3044 Services                   0      7,768 K
svchost.exe                   2868 Services                   0      7,512 K
svchost.exe                   3096 Services                   0      9,064 K
svchost.exe                   3216 Services                   0      6,548 K
svchost.exe                   3272 Services                   0      8,304 K
svchost.exe                   3268 Services                   0      9,308 K
svchost.exe                   3288 Services                   0      6,168 K
svchost.exe                   3404 Services                   0     14,264 K
svchost.exe                   3476 Services                   0      7,492 K
RAVBg64.exe                   3540 Console                    1     14,540 K
svchost.exe                   3588 Services                   0     16,420 K
svchost.exe                   3688 Services                   0     12,896 K
svchost.exe                   3696 Services                   0      6,176 K
spoolsv.exe                   3852 Services                   0     12,572 K
svchost.exe                   3972 Services                   0      7,616 K
wlanext.exe                   3992 Services                   0     14,116 K
conhost.exe                   4000 Services                   0      5,284 K
OfficeClickToRun.exe          3812 Services                   0     21,112 K
IntelCpHDCPSvc.exe            3964 Services                   0      6,624 K
svchost.exe                   1488 Services                   0     25,924 K
svchost.exe                   4080 Services                   0     15,784 K
svchost.exe                   4104 Services                   0     27,236 K
svchost.exe                   4112 Services                   0      7,672 K
svchost.exe                   4120 Services                   0     17,120 K
svchost.exe                   4128 Services                   0      6,120 K
ETDService.exe                4140 Services                   0      5,140 K
svchost.exe                   4148 Services                   0     21,900 K
esif_uf.exe                   4156 Services                   0      7,120 K
EvtEng.exe                    4164 Services                   0     13,360 K
ibtsiva.exe                   4172 Services                   0      4,588 K
RegSrvc.exe                   4188 Services                   0      8,568 K
servicehost.exe               4208 Services                   0     33,032 K
RichVideo64.exe               4216 Services                   0      6,220 K
svchost.exe                   4268 Services                   0      5,320 K
jhi_service.exe               4276 Services                   0      5,732 K
svchost.exe                   4540 Services                   0      8,716 K
VpnSvc.exe                    4648 Services                   0     10,992 K
svchost.exe                   4768 Services                   0      5,672 K
